sectror_id, lat
0,86
1,86
2,86
3,86
4,86
5,86
6,86
7,86
8,86
9,86
10,86
11,86
12,86
13,86
14,86
15,86
16,86
17,86
18,86
19,86
20,86
21,86
22,86
23,86
24,86
25,86
26,86
27,86
28,86
29,86
30,86
31,86
32,319
33,319
34,319
35,319
36,319
37,319
38,319
39,319
40,319
41,319
42,319
43,319
44,319
45,319
46,319
47,319
48,319
49,319
50,319
51,319
52,319
53,319
54,319
55,319
56,319
57,319
58,319
59,319
60,319
61,319
62,319
63,319
64,308
65,308
66,308
67,308
68,308
69,308
70,308
71,308
72,308
73,308
74,308
75,308
76,308
77,308
78,308
79,308
80,308
81,308
82,308
83,308
84,308
85,308
86,308
87,308
88,308
89,308
90,308
91,308
92,308
93,308
94,308
95,308
96,336
97,336
98,336
99,336
100,336
101,336
102,336
103,336
104,336
105,336
106,336
107,336
108,336
109,336
110,336
111,336
112,336
113,336
114,336
115,336
116,336
117,336
118,336
119,336
120,336
121,336
122,336
123,336
124,336
125,336
126,336
127,336
128,297
129,297
130,297
131,297
132,297
133,297
134,297
135,297
136,297
137,297
138,297
139,297
140,297
141,297
142,297
143,297
144,297
145,297
146,297
147,297
148,297
149,297
150,297
151,297
152,297
153,297
154,297
155,297
156,297
157,297
158,297
159,297
160,312
161,312
162,312
163,312
164,312
165,312
166,312
167,312
168,312
169,312
170,312
171,312
172,312
173,312
174,312
175,312
176,312
177,312
178,312
179,312
180,312
181,312
182,312
183,312
184,312
185,312
186,312
187,312
188,312
189,312
190,312
191,312
192,287
193,287
194,287
195,287
196,287
197,287
198,287
199,287
200,287
201,287
202,287
203,287
204,287
205,287
206,287
207,287
208,287
209,287
210,287
211,287
212,287
213,287
214,287
215,287
216,287
217,287
218,287
219,287
220,287
221,287
222,287
223,287
224,329
225,329
226,329
227,329
228,329
229,329
230,329
231,329
232,329
233,329
234,329
235,329
236,329
237,329
238,329
239,329
240,329
241,329
242,329
243,329
244,329
245,329
246,329
247,329
248,329
249,329
250,329
251,329
252,329
253,329
254,329
255,329
256,223
257,223
258,223
259,223
260,223
261,223
262,223
263,223
264,223
265,223
266,223
267,223
268,223
269,223
270,223
271,223
272,223
273,223
274,223
275,223
276,223
277,223
278,223
279,223
280,223
281,223
282,223
283,223
284,223
285,223
286,223
287,223
288,306
289,306
290,306
291,306
292,306
293,306
294,306
295,306
296,306
297,306
298,306
299,306
300,306
301,306
302,306
303,306
304,306
305,306
306,306
307,306
308,306
309,306
310,306
311,306
312,306
313,306
314,306
315,306
316,306
317,306
318,306
319,306
320,237
321,237
322,237
323,237
324,237
325,237
326,237
327,237
328,237
329,237
330,237
331,237
332,237
333,237
334,237
335,237
336,237
337,237
338,237
339,237
340,237
341,237
342,237
343,237
344,237
345,237
346,237
347,237
348,237
349,237
350,237
351,237
352,221
353,221
354,221
355,221
356,221
357,221
358,221
359,221
360,221
361,221
362,221
363,221
364,221
365,221
366,221
367,221
368,221
369,221
370,221
371,221
372,221
373,221
374,221
375,221
376,221
377,221
378,221
379,221
380,221
381,221
382,221
383,221
384,274
385,274
386,274
387,274
388,274
389,274
390,274
391,274
392,274
393,274
394,274
395,274
396,274
397,274
398,274
399,274
400,274
401,274
402,274
403,274
404,274
405,274
406,274
407,274
408,274
409,274
410,274
411,274
412,274
413,274
414,274
415,274
416,269
417,269
418,269
419,269
420,269
421,269
